U+04E23	U+2B741
U+067F3	U+2B789
U+06803	U+2B78A
U+069BC	U+23581
U+069CB	U+2355B
U+06A05	U+2B78B
U+06A05	U+2B78C
U+06A0A	U+24569
U+06A29	U+2B790
U+06A38	U+23762
U+06A38	U+237A7
U+06A4B	U+2B78E
U+06A4B	U+2B78F
U+06A4C	U+06A7A
U+06A80	U+2B78D
U+06AB3	U+03BFD
U+06AEA	U+2B792
U+06B0D	U+23424
U+06B73	U+2B793
U+06BAF	U+23A75
U+06BB2	U+2B794
U+06C02	U+23BF7
U+06C0F	U+2B795
U+06C11	U+2B796
U+06C15	U+06C23
U+06CD2	U+23C96
U+06DF5	U+2B798
U+06E5B	U+03D34
U+06E80	U+23E8F
U+06E80	U+2B79C
U+06ECF	U+03D5A
U+06EF1	U+23ECE
U+06F8D	U+03D3B
U+07045	U+23E2B
U+0704A	U+2416C
U+0704C	U+2B79E
U+07051	U+23D87
U+07061	U+03CD5
U+0706A	U+23E59
U+070BA	U+2B79F
U+070CF	U+215C3
U+07121	U+237A4
U+0717C	U+2429B
U+0718F	U+242F1
U+071D7	U+243D0
U+071E3	U+071F7
U+07207	U+26D9F
U+0720B	U+2445B
U+0721F	U+24251
U+0723E	U+2B743
U+07259	U+0F2B4
U+0726C	U+24642
U+072D2	U+2574B
U+072DD	U+2475D
U+0733F	U+2B7A4
U+0737F	U+2044D
U+07384	U+248E5
U+07404	U+03EC6
U+074DB	U+24A7D
U+074DC	U+244F0
U+0751A	U+2B7AA
U+0753E	U+20679
U+07550	U+07557
U+075D5	U+24DA8
U+075D9	U+2B7AC
U+0765F	U+24ECB
U+07662	U+24E1C
U+076C8	U+2B7AF
U+076C8	U+2B7B0
U+076F4	U+23587
U+0771E	U+2091B
U+0771E	U+2B7B2
U+0776A	U+20B24
U+0776B	U+25224
U+077FB	U+2542C
U+078C1	U+25535
U+078F5	U+07900
U+078F5	U+07900
U+0791A	U+25564
U+07923	U+255E5
U+07968	U+2442B
U+0796D	U+2B7B4
U+0799A	U+2B309
U+079BC	U+2573E
U+079CB	U+2584C
U+079CB	U+2591A
U+07A7A	U+2B7B9
U+07AC3	U+2B770
U+07ACA	U+2B7BA
U+07B86	U+2B7BE
U+07BAA	U+2B7DB
U+07BC9	U+25D00
U+07BFD	U+07C5E
U+07C06	U+25C83
U+07C17	U+2B7BF
U+07C18	U+07C2B
U+07C21	U+25CD1
U+07C51	U+25D89
U+07CA7	U+07CDA
U+07CF3	U+25F7F
U+07D07	U+25FA8
U+07D07	U+25FA8
U+07D65	U+29341
U+07DDE	U+2B7C1
U+07DEE	U+2608A
U+07E31	U+25FBA
U+07E37	U+2B0F5
U+07E5D	U+26158
U+07E7D	U+261AF
U+07E80	U+25FBE
U+07E9E	U+260F3
U+07F6E	U+262D8
U+07F76	U+07F80
U+07F85	U+26334
U+07F8E	U+2B7C8
U+08034	U+2652E
U+0805D	U+09998
U+08075	U+2660B
U+08077	U+2B7C9
U+08084	U+27C81
U+080D0	U+26707
U+080D4	U+2667C
U+08100	U+2AC5D
U+08135	U+2B786
U+08146	U+231FA
U+08158	U+266E2
U+081C2	U+2684D
U+081D8	U+2B787
U+081E2	U+268A4
U+081F1	U+2691D
U+081F4	U+26936
U+081F4	U+2693A
U+08200	U+26968
U+08204	U+29046
U+08207	U+2B74C
U+08207	U+2B7CB
U+0821B	U+2B762
U+0821B	U+2B763
U+0821E	U+26A05
U+0826E	U+03FDD
U+0826F	U+23329
U+0828C	U+270F7
U+082C5	U+2B7CC
U+082D1	U+083C0
U+0830D	U+26C86
U+08342	U+20336
U+083A3	U+26BCC
U+083DF	U+2B7CF
U+083F7	U+26C85
U+08410	U+26D49
U+08416	U+26BF5
U+08425	U+26D61
U+08449	U+2B7D2
U+08475	U+26B99
U+08481	U+26CEF
U+084A1	U+2B7D0
U+084A6	U+26B5C
U+084AD	U+26C6A
U+084F0	U+26E7C
U+084F5	U+26EF4
U+08535	U+2B7D6
U+08551	U+08573
U+08564	U+03F54
U+08568	U+2B7D4
U+08575	U+0859E
U+0858D	U+26BE0
U+085A1	U+26F4D
U+085B2	U+26FDC
U+085B3	U+044D5
U+085BB	U+270E1
U+08641	U+21582
U+08679	U+2728B
U+0867C	U+2B2A8
U+08746	U+045B9
U+08758	U+274F1
U+0879C	U+273DA
U+087C1	U+274E2
U+08824	U+2752D
U+0884B	U+0400C
U+0885B	U+20004
U+0885B	U+2B7D8
U+0885B	U+2B7D9
U+0896C	U+04653
U+0898D	U+2232E
U+089C0	U+2B7DC
U+089FC	U+2794E
U+08A29	U+08A7E
U+08AB1	U+27A8C
U+08B22	U+046CA
U+08B4B	U+27B18
U+08B56	U+27B82
U+08B5C	U+27B58
U+08B77	U+04576
U+08B82	U+27B66
U+08B93	U+2B7DD
U+08B9C	U+27AC6
U+08C61	U+242B1
U+08C75	U+27C77
U+08CA3	U+27D2E
U+08CAF	U+2B393
U+08CB7	U+27E52
U+08CD3	U+08CD4
U+08CEC	U+27E54
U+08CFE	U+268F1
U+08D1B	U+27E49
U+08D93	U+27EDE
U+08DC1	U+27FCF
U+08DE1	U+281FC
U+08EC9	U+28257
U+08F64	U+282E4
U+0903A	U+09060
U+0903D	U+2850F
U+09060	U+2B7E8
U+09089	U+2B7EA
U+09094	U+2866C
U+090AF	U+286A0
U+09184	U+28852
U+091CD	U+2B7EF
U+09219	U+2B48B
U+09343	U+0936F
U+0936D	U+28A40
U+0938E	U+2894A
U+093CB	U+28C1B
U+093D2	U+28A15
U+093E4	U+28A50
U+093F8	U+28ACD
U+0943A	U+2B7F0
U+09444	U+2B7F1
U+09445	U+28AAA
U+0944C	U+28B98
U+09459	U+28BBA
U+0958B	U+2B52D
U+09594	U+227B0
U+095C3	U+28D62
U+09623	U+28E1B
U+09674	U+29AEE
U+096B0	U+2B803
U+09740	U+291AC
U+0974C	U+291C9
U+09788	U+04D80
U+09803	U+294CF
U+09842	U+294CB
U+09858	U+2B5B8
U+09868	U+29567
U+098B4	U+295DF
U+098DF	U+2028A
U+098F2	U+2969C
U+09959	U+29791
U+0995A	U+29796
U+09999	U+2A3FD
U+099AC	U+2B809
U+09A2E	U+29937
U+09A5E	U+299BF
U+09A62	U+298AC
U+09AD5	U+29AAF
U+09B16	U+29B79
U+09B22	U+29BEB
U+09B22	U+29BED
U+09B35	U+29C55
U+09B95	U+29F80
U+09BB0	U+29DA0
U+09C2C	U+29E87
U+09C60	U+29DC6
U+09C78	U+2B654
U+09CE5	U+2B813
U+09D49	U+09E1E
U+09DAF	U+26F89
U+09DF9	U+2B815
U+09E81	U+2B756
U+09EDE	U+03E03
U+09EFC	U+24C0D
U+09F2C	U+2B818
U+09F63	U+2B81A
U+03404	U+21552
U+03452	U+2B747
U+03473	U+202A3
U+034AA	U+20473
U+034D8	U+24954
U+034FC	U+20798
U+03515	U+20836
U+03515	U+2F824
U+0353E	U+22398
U+03583	U+20DF4
U+035B4	U+26BB6
U+035D9	U+20D3E
U+035FC	U+21056
U+0361F	U+211AA
U+03624	U+2121B
U+03686	U+21568
U+03707	U+03968
U+0370C	U+21806
U+03722	U+2184E
U+0372A	U+218CE
U+0386E	U+221D3
U+038AA	U+223B0
U+03912	U+03913
U+03988	U+228CF
U+03A76	U+22EA3
U+03A78	U+03A79
U+03A83	U+22F14
U+03A8A	U+22F4F
U+03A90	U+22F72
U+03A94	U+22F73
U+03A9B	U+22FA4
U+03AA7	U+22FF4
U+03AAA	U+29405
U+03ABF	U+2309F
U+03AE3	U+232D4
U+03BA2	U+23539
U+03BDE	U+23693
U+03BFC	U+23665
U+03C5C	U+239D0
U+03D8C	U+23F8D
U+03D95	U+24112
U+03DD7	U+242C5
U+03DEA	U+243B1
U+03E69	U+03E75
U+03EA6	U+248C6
U+03EAC	U+248F2
U+03F26	U+24B33
U+03F7F	U+2AF6B
U+03FEB	U+24FCE
U+0400B	U+2A279
U+0403A	U+2032A
U+0406E	U+25333
U+04094	U+253E3
U+040F2	U+2AFF1
U+0426D	U+25DA2
U+04320	U+2392D
U+04334	U+261FD
U+04529	U+26D6A
U+0453C	U+2B289
U+04544	U+275C6
U+04587	U+26D41
U+045C2	U+2732D
U+04617	U+275FC
U+04669	U+27791
U+04674	U+20A27
U+04674	U+22371
U+0467B	U+27825
U+04694	U+27898
U+04702	U+27B01
U+0478A	U+27E29
U+0492A	U+28983
U+0494D	U+28AE6
U+04951	U+2898E
U+04A36	U+291B9
U+04AA2	U+04AA3
U+04AB6	U+294A2
U+04AC4	U+294AC
U+04AEB	U+29517
U+04B1E	U+295E1
U+04B1F	U+295CC
U+04B82	U+2989A
U+04C27	U+29CF0
U+2001F	U+233BA
U+2002D	U+24501
U+20061	U+20062
U+20072	U+28E25
U+20075	U+20079
U+20094	U+2AA72
U+20096	U+20099
U+2014F	U+21C40
U+20177	U+20180
U+20216	U+2022B
U+20257	U+203E2
U+2028D	U+28940
U+202AF	U+202E2
U+202BB	U+20300
U+20300	U+20342
U+2031E	U+2031F
U+2039D	U+203B1
U+203B1	U+20437
U+20403	U+228B1
U+20479	U+2047C
U+204A7	U+204B9
U+204F5	U+204F7
U+20505	U+20506
U+20543	U+20548
U+20553	U+21D0A
U+20627	U+20628
U+2069C	U+206A1
U+2069E	U+2453C
U+20727	U+20730
U+20774	U+2077E
U+2083B	U+20840
U+20841	U+20845
U+20982	U+2098E
U+209C0	U+24879
U+209C8	U+209C9
U+20A57	U+238AD
U+20AB1	U+20ABE
U+20B1C	U+22E05
U+20B5A	U+20B5E
U+20B62	U+20B6E
U+20B8D	U+22162
U+20C07	U+20C21
U+20CA5	U+2114F
U+20CCB	U+28EAB
U+20D22	U+21114
U+20D44	U+262AF
U+20D76	U+20DDB
U+20D81	U+2104E
U+20DD9	U+20DFE
U+20DE3	U+2112A
U+20F7D	U+24566
U+20F97	U+21040
U+20FD5	U+21057
U+21018	U+2104A
U+2105D	U+210F3
U+21174	U+21189
U+212C0	U+214FE
U+21359	U+21475
U+213C6	U+214B6
U+21448	U+21F3B
U+21465	U+21488
U+2148F	U+214CD
U+214B4	U+214BF
U+2151E	U+248F4
U+21522	U+21523
U+21562	U+2156B
U+21623	U+25979
U+2165B	U+21660
U+216AE	U+216B0
U+217A5	U+217D1
U+217F7	U+21816
U+21814	U+21821
U+21847	U+218E8
U+21929	U+21938
U+21978	U+21CAA
U+219B1	U+219B5
U+21A0D	U+24B3D
U+21BDA	U+21BE1
U+21BE4	U+21BEE
U+21BEA	U+21BED
U+21BEB	U+21BEC
U+21C0D	U+21C13
U+21C12	U+21C15
U+21C17	U+21C1C
U+21C79	U+21C8F
U+21DB2	U+21DD4
U+21DB9	U+21E71
U+21E13	U+21E9B
U+21EED	U+21FDC
U+21EF1	U+21FD4
U+21F0F	U+21F25
U+2200A	U+2720A
U+2203C	U+26BB9
U+22099	U+220A0
U+2209B	U+220A4
U+220D7	U+2211C
U+2211A	U+26971
U+2211B	U+22142
U+2219A	U+2219E
U+221C1	U+221C3
U+2235A	U+24C7F
U+223AE	U+223B6
U+2240B	U+2240F
U+2242F	U+22431
U+22457	U+2245B
U+2263D	U+22695
U+226CB	U+22788
U+22760	U+2277D
U+227ED	U+22820
U+2284D	U+22864
U+22865	U+2287B
U+229E3	U+229FA
U+22A97	U+22DCF
U+22AB9	U+22AC2
U+22B26	U+22E7F
U+22B9B	U+22BA8
U+22C6D	U+22CCE
U+22C75	U+23A4C
U+22C7D	U+22C80
U+22CD7	U+22D4D
U+22D47	U+22D4E
U+22D7F	U+22DA1
U+22DD0	U+22DDF
U+22E4E	U+22E95
U+22EEB	U+22EF1
U+22EF5	U+22F06
U+22EF8	U+22F07
U+22EFC	U+22F08
U+22F26	U+22F2D
U+22F28	U+22F2E
U+22F29	U+22F36
U+22F2B	U+22F2C
U+22F2F	U+22F34
U+22F38	U+2304B
U+22F39	U+22F4A
U+22F3C	U+22F50
U+22F3E	U+22F4B
U+22F5A	U+22F74
U+22F5C	U+22F77
U+22F62	U+22F75
U+22F6B	U+22FA3
U+22F79	U+231FB
U+22F85	U+22F96
U+22F8A	U+22F9B
U+22F8B	U+22FA1
U+22F8E	U+22F9C
U+22F91	U+22F9A
U+22FA6	U+22FBD
U+22FB2	U+22FBC
U+22FBA	U+22FBB
U+22FCF	U+22FD6
U+22FD9	U+2390B
U+22FE2	U+22FF3
U+22FE3	U+22FF2
U+22FE6	U+22FFD
U+22FE7	U+22FF5
U+22FE8	U+22FF1
U+23003	U+2300A
U+23004	U+23006
U+2301B	U+23020
U+2301C	U+23021
U+23024	U+23029
U+23027	U+2903C
U+23030	U+23031
U+23036	U+23039
U+23038	U+2303A
U+230B7	U+230BC
U+230F4	U+230F7
U+23154	U+23173
U+23158	U+23309
U+2326A	U+23280
U+2327C	U+232DE
U+23285	U+23286
U+2336D	U+266B9
U+23386	U+26760
U+2338E	U+23390
U+2339F	U+26805
U+233BB	U+233BE
U+233DF	U+2347C
U+23437	U+2344D
U+23445	U+2347E
U+23476	U+23832
U+2348F	U+234D9
U+234AE	U+2566D
U+234C7	U+23518
U+234C9	U+23579
U+234E7	U+2354F
U+23535	U+235F8
U+236FE	U+23765
U+23788	U+23789
U+237F4	U+2382F
U+2384F	U+23866
U+2385F	U+2386D
U+238A3	U+238BC
U+238CD	U+238D5
U+23A0F	U+23A28
U+23AC8	U+2888B
U+23BAF	U+23BB8
U+23BB9	U+23BD0
U+23BE3	U+23BE9
U+23C1D	U+23C22
U+23C64	U+271A6
U+23CB5	U+23EA6
U+23D29	U+23D48
U+23D42	U+23D97
U+23D68	U+23DFB
U+23DA0	U+23DBE
U+23E70	U+23E8E
U+23E83	U+23EB4
U+23E96	U+2B799
U+23F4D	U+23F84
U+23F85	U+23FA5
U+23FB4	U+2403E
U+23FB4	U+240CA
U+2403E	U+240CA
U+240C3	U+2412B
U+240E8	U+29240
U+24138	U+2413C
U+241FE	U+2B1E6
U+24239	U+2425E
U+24249	U+2424C
U+24268	U+24279
U+2427A	U+242AE
U+242AA	U+24449
U+24302	U+2431B
U+2430E	U+28D19
U+24425	U+2444B
U+24427	U+24438
U+2445C	U+24468
U+244DC	U+244DE
U+244FD	U+2450D
U+244FF	U+24502
U+24503	U+2450D
U+245D1	U+245D5
U+2462C	U+24631
U+2463A	U+2463B
U+246FA	U+246FC
U+24700	U+24703
U+24811	U+2487C
U+2481B	U+24824
U+248BB	U+248C7
U+248D0	U+248D4
U+248D4	U+248D7
U+248D4	U+24ACF
U+24912	U+24923
U+2493A	U+2495F
U+24971	U+24991
U+24A34	U+24AE4
U+24A5A	U+24AA2
U+24AE1	U+26266
U+24B1F	U+24B21
U+24BAB	U+24BAC
U+24BDD	U+24BDE
U+24BF6	U+24C01
U+24BFC	U+24BFE
U+24D68	U+24D75
U+24E7A	U+24EDC
U+24FF9	U+25000
U+2505D	U+2506A
U+250CA	U+250CE
U+250E2	U+268F8
U+25149	U+25155
U+251D7	U+251E4
U+252E6	U+252E8
U+252EE	U+252EF
U+25324	U+2533F
U+25431	U+2545A
U+25477	U+2548F
U+25523	U+255EA
U+25533	U+2553C
U+25534	U+25559
U+255F0	U+255F8
U+2566F	U+25681
U+25728	U+2572A
U+25747	U+26994
U+257DD	U+257DE
U+25838	U+25843
U+25864	U+25871
U+25883	U+258D7
U+258FE	U+25908
U+2591A	U+2591B
U+2592F	U+25933
U+25AA5	U+294E3
U+25ABA	U+25AC3
U+25B8B	U+25E20
U+25BAA	U+25C00
U+25BD7	U+2B08E
U+25C05	U+25C82
U+25C43	U+25CFF
U+25CA4	U+25CC1
U+25D51	U+25D78
U+25DE4	U+25DF4
U+25E02	U+25E07
U+25E05	U+28662
U+25E44	U+28910
U+25EA3	U+25EE4
U+25F22	U+25F52
U+25FEA	U+25FFC
U+26044	U+2605F
U+26047	U+26064
U+26065	U+260B2
U+26070	U+26096
U+260CD	U+26173
U+26157	U+26180
U+261D0	U+261F3
U+2627A	U+26280
U+26282	U+2628D
U+26295	U+262A8
U+262A6	U+262B3
U+26342	U+26345
U+263A7	U+263AB
U+263F6	U+26400
U+26477	U+2648A
U+2649B	U+2649E
U+264AB	U+264AF
U+264C3	U+264C6
U+26565	U+26574
U+26566	U+2658F
U+2657C	U+26582
U+2657C	U+26582
U+26671	U+2667D
U+266B2	U+266D1
U+26760	U+267C0
U+267A7	U+2681D
U+267B5	U+267DE
U+2683C	U+26873
U+2688B	U+268B9
U+268DD	U+268DE
U+26973	U+28EAB
U+26B20	U+26B27
U+26B26	U+26B2B
U+26B37	U+26B44
U+26B4E	U+26B6D
U+26BDC	U+26BE6
U+26BE7	U+26C27
U+26C4D	U+26CAC
U+26C4F	U+26CAF
U+26C5D	U+26D1F
U+26D03	U+26D6B
U+26DAB	U+26E41
U+26DB2	U+26E05
U+26EC3	U+26F09
U+26ECF	U+26F93
U+26EE9	U+26F96
U+26F75	U+26FA8
U+27009	U+27051
U+27098	U+270F1
U+270A3	U+2B205
U+270ED	U+2710B
U+27171	U+2718C
U+271CF	U+271D5
U+27229	U+27231
U+27329	U+2757D
U+2748B	U+27590
U+2749D	U+27589
U+27563	U+27572
U+27589	U+2758F
U+2760E	U+27618
U+2766C	U+276BE
U+27721	U+27794
U+27735	U+2776B
U+277E0	U+277E1
U+277E4	U+277E6
U+277F1	U+277F5
U+277F3	U+277F6
U+27825	U+27835
U+2782C	U+27830
U+278AF	U+278B0
U+27977	U+27AA2
U+2797C	U+27B1E
U+279C7	U+279E8
U+279F9	U+27A0D
U+27A98	U+27B6F
U+27AE3	U+27AF7
U+27B4A	U+27B59
U+27BC8	U+27BCA
U+27BCE	U+27BD1
U+27C15	U+27C1D
U+27C4E	U+27C67
U+27DA5	U+27DA9
U+27DBA	U+27DED
U+27E16	U+27E1C
U+27E2A	U+27E33
U+27E59	U+27E5A
U+27FDD	U+27FEA
U+28005	U+28014
U+28028	U+2B3CE
U+280B9	U+280D2
U+2814D	U+28180
U+2816B	U+281DE
U+281E3	U+28207
U+281EF	U+28202
U+28207	U+2B3E0
U+282DC	U+2830C
U+282F8	U+2B3F6
U+28375	U+28381
U+2837D	U+2838A
U+28380	U+283A6
U+283FD	U+28400
U+28416	U+28418
U+28451	U+2845F
U+28453	U+28456
U+284C6	U+284E4
U+2850B	U+28518
U+2851A	U+2B43B
U+28521	U+28535
U+28525	U+2855B
U+2852C	U+28536
U+28599	U+285BC
U+285A6	U+285AA
U+285BD	U+285ED
U+285CC	U+285E4
U+286B8	U+286E7
U+286F2	U+286FB
U+2870A	U+2872E
U+28731	U+28743
U+28755	U+287A8
U+28777	U+2877C
U+287C8	U+287CC
U+288AB	U+288CA
U+288AE	U+288B1
U+288C7	U+288C9
U+288C7	U+288C9
U+288F5	U+28906
U+288F8	U+2890B
U+28984	U+289CC
U+28985	U+289BE
U+289FE	U+28A2D
U+28A9F	U+28ADA
U+28AD7	U+28AF7
U+28AFA	U+28BBD
U+28B15	U+28B1F
U+28B27	U+28B56
U+28B7E	U+28B7F
U+28B9A	U+28BA9
U+28BFA	U+28C28
U+28C0B	U+2B4F3
U+28C13	U+28C1D
U+28C26	U+28C30
U+28D27	U+28D33
U+28D4E	U+28D64
U+28D98	U+28DB7
U+28DF4	U+28DF8
U+28DF6	U+2B538
U+28E94	U+28E9C
U+28EF9	U+28F48
U+28F70	U+28F71
U+29091	U+2910F
U+290AB	U+290AD
U+290FE	U+29101
U+2911A	U+29120
U+29149	U+29167
U+291A7	U+291B7
U+2928A	U+292A4
U+292D3	U+29304
U+29341	U+2B589
U+293A9	U+293B4
U+29443	U+29444
U+2957E	U+29582
U+2957E	U+29588
U+29589	U+2958E
U+295B9	U+295D1
U+295C2	U+2B5BC
U+29629	U+2B5C1
U+2962C	U+2B5C2
U+2964B	U+2964C
U+2964D	U+2B5C3
U+296D2	U+296D5
U+29717	U+29773
U+2972E	U+2976E
U+2972F	U+2976F
U+29753	U+29769
U+2976B	U+2979F
U+29770	U+2979B
U+29792	U+297AE
U+2981D	U+29821
U+2981E	U+29822
U+29859	U+2985F
U+2985A	U+29864
U+29879	U+29940
U+298AF	U+298C7
U+298C8	U+298D0
U+299DE	U+299E0
U+29A87	U+29A88
U+29A9F	U+29AA9
U+29AA4	U+29AAB
U+29ACE	U+29AD2
U+29BEF	U+29C03
U+29BF6	U+29C01
U+29C42	U+29C48
U+29CBA	U+29CD8
U+29CC3	U+29CD9
U+29D49	U+29D4A
U+29D9C	U+29DCF
U+29DA1	U+29DB6
U+29DBC	U+29EC8
U+29E3C	U+29E63
U+29EBE	U+29EEF
U+29ED8	U+29EFE
U+29EDC	U+29EFF
U+29F3C	U+29F66
U+29FB1	U+2A024
U+2A042	U+2A22E
U+2A19F	U+2A1B5
U+2A1D5	U+2A1E7
U+2A362	U+2A365
U+2A3FC	U+2A3FE
U+2A4CD	U+2A4CF
U+2A5D7	U+2A667
U+2A668	U+2A669
U+2A66A	U+2A671
U+2A680	U+2A681
U+2A6AE	U+2A6B2
U+2A6C6	U+2B81D
U+2ACD4	U+2AFFD
U+2AE0F	U+2AE15
U+2B104	U+2B10E
U+2B34F	U+2B358
